category,bathrooms,bedrooms,has_photo,pets_allowed,price,square_feet,cityname,state,latitude,longitude,source,Conteo body
housing/rent/apartment,1.0,0.0,Thumbnail,Desconocido,790,101,Washington,DC,38.9057,-76.9861,RentLingo,183
housing/rent/apartment,1.0,1.0,Thumbnail,Desconocido,425,106,Evansville,IN,37.968,-87.6621,RentLingo,154
housing/rent/apartment,1.0,0.0,Thumbnail,Desconocido,1390,107,Arlington,VA,38.891,-77.0816,RentLingo,164
housing/rent/apartment,1.0,0.0,Thumbnail,Desconocido,925,116,Seattle,WA,47.616,-122.3275,RentLingo,132
housing/rent/apartment,1.0,0.0,Thumbnail,Desconocido,880,125,Arlington,VA,38.8738,-77.1055,RentLingo,163
housing/rent/apartment,1.0,0.0,Thumbnail,Desconocido,2475,130,Manhattan,NY,40.7629,-73.9885,Listanza,939
housing/rent/apartment,1.0,0.0,Thumbnail,Desconocido,1800,132,Venice,CA,33.9932,-118.4609,RentLingo,134
housing/rent/apartment,1.0,0.0,Thumbnail,Desconocido,840,136,Washington,DC,38.9328,-77.0297,RentLingo,165
housing/rent/apartment,1.0,0.0,Thumbnail,Desconocido,1495,138,San Francisco,CA,37.7599,-122.4379,RentLingo,193
housing/rent/apartment,1.0,0.0,Thumbnail,Desconocido,890,141,Washington,DC,38.9118,-77.0132,RentLingo,153
housing/rent/apartment,1.0,0.0,Thumbnail,Desconocido,990,146,Washington,DC,38.9118,-77.0132,RentLingo,176
housing/rent/apartment,1.0,0.0,Thumbnail,Desconocido,840,150,Washington,DC,38.9118,-77.0132,RentLingo,170
housing/rent/apartment,1.0,1.0,Thumbnail,"Cats,Dogs",1795,156,Tucson,AZ,32.2264,-110.9438,RentLingo,154
housing/rent/apartment,1.0,0.0,Thumbnail,Desconocido,1090,178,Washington,DC,38.9118,-77.0132,RentLingo,158
housing/rent/apartment,1.0,0.0,Thumbnail,Desconocido,1695,190,San Francisco,CA,37.7599,-122.4379,RentLingo,297
housing/rent/apartment,1.0,1.0,Thumbnail,"Cats,Dogs",1560,200,New Bern,NC,35.096,-77.0272,RentDigs.com,761
housing/rent/apartment,1.0,1.0,Thumbnail,Desconocido,1000,200,Spring,TX,30.0871,-95.4685,RentLingo,177
housing/rent/apartment,1.0,1.0,Thumbnail,Desconocido,950,200,Vallejo,CA,38.1172,-122.2313,RentLingo,176
housing/rent/apartment,1.0,1.0,Thumbnail,Desconocido,625,200,Marietta,GA,33.9649,-84.5107,RentLingo,180
housing/rent/apartment,1.0,1.0,Thumbnail,Desconocido,600,200,Charlotte,NC,35.2016,-80.8124,RentLingo,177
housing/rent/apartment,1.0,1.0,Thumbnail,Desconocido,544,200,Tallahassee,FL,30.4601,-84.2714,RentLingo,304
housing/rent/apartment,1.0,1.0,Thumbnail,Desconocido,525,200,Desconocido,Desconocido,38.8098,-93.6516,RentLingo,179
housing/rent/apartment,1.0,1.0,Thumbnail,Desconocido,450,200,Phoenix,AZ,33.5178,-112.0848,RentLingo,179
housing/rent/apartment,1.0,1.0,Thumbnail,Desconocido,750,215,Riverview,FL,27.8492,-82.3155,RentLingo,135
housing/rent/apartment,1.0,1.0,Thumbnail,Desconocido,2000,219,Lafayette,AL,32.8956,-85.4351,RentLingo,175
housing/rent/apartment,1.0,1.0,Thumbnail,Desconocido,1400,219,San Francisco,CA,37.7599,-122.4379,RentLingo,180
housing/rent/apartment,1.0,1.0,Thumbnail,Desconocido,1095,219,Glen Burnie,MD,39.1634,-76.6165,RentLingo,173
housing/rent/apartment,1.0,1.0,Thumbnail,Desconocido,915,219,Littleton,CO,39.5816,-105.0387,RentLingo,191
housing/rent/apartment,1.0,1.0,Thumbnail,Desconocido,900,219,Waldorf,MD,38.621,-76.9225,RentLingo,168
housing/rent/apartment,1.0,1.0,Thumbnail,Desconocido,865,219,Riverview,FL,27.8492,-82.3155,RentLingo,186
housing/rent/apartment,1.0,1.0,Thumbnail,Desconocido,750,219,Desconocido,Desconocido,38.8098,-93.6516,RentLingo,167
housing/rent/apartment,1.0,1.0,Thumbnail,Desconocido,725,219,Aurora,CO,39.6828,-104.8078,RentLingo,178
housing/rent/apartment,1.0,1.0,Thumbnail,Desconocido,650,219,Manassas,VA,38.7418,-77.4684,RentLingo,129
housing/rent/apartment,1.0,1.0,Thumbnail,Desconocido,650,219,Decatur,GA,33.7416,-84.2614,RentLingo,126
housing/rent/apartment,1.0,1.0,Thumbnail,Desconocido,645,219,Tampa,FL,28.0076,-82.4792,RentLingo,126
housing/rent/apartment,1.0,1.0,Thumbnail,Desconocido,595,219,Albuquerque,NM,35.1038,-106.611,RentLingo,186
housing/rent/apartment,1.0,1.0,Thumbnail,Desconocido,750,220,Desconocido,Desconocido,38.8098,-93.6516,RentLingo,197
housing/rent/apartment,1.0,0.0,Thumbnail,"Cats,Dogs",1195,223,Seattle,WA,47.616,-122.3275,RentLingo,141
housing/rent/apartment,1.0,0.0,Thumbnail,Desconocido,1150,225,Seattle,WA,47.616,-122.3275,RentLingo,135
housing/rent/apartment,1.0,1.0,Thumbnail,Cats,942,225,Chicago,IL,41.8625,-87.6825,RentLingo,298
housing/rent/apartment,1.0,0.0,Thumbnail,"Cats,Dogs",1250,228,Seattle,WA,47.616,-122.3275,RentLingo,135
housing/rent/apartment,1.0,1.0,Thumbnail,Desconocido,800,230,Gastonia,NC,35.224,-81.1809,RentLingo,180
housing/rent/apartment,1.0,1.0,Thumbnail,Desconocido,685,230,Wimauma,FL,27.7011,-82.3178,RentLingo,178
housing/rent/apartment,1.0,1.0,Thumbnail,"Cats,Dogs",525,230,Memphis,TN,35.1211,-89.9517,RentLingo,153
housing/rent/apartment,1.0,0.0,Thumbnail,Cats,1095,231,Seattle,WA,47.616,-122.3275,RentLingo,143
housing/rent/apartment,1.0,0.0,Thumbnail,"Cats,Dogs",1695,232,San Francisco,CA,37.7599,-122.4379,RentLingo,244
housing/rent/apartment,1.0,0.0,Thumbnail,Desconocido,990,239,Washington,DC,38.9118,-77.0132,RentLingo,173
housing/rent/apartment,1.0,1.0,Thumbnail,Cats,775,240,Bellingham,WA,48.7871,-122.4437,RentLingo,158
housing/rent/apartment,1.0,0.0,Thumbnail,"Cats,Dogs",1299,243,Seattle,WA,47.616,-122.3275,RentLingo,134
housing/rent/apartment,1.0,1.0,Thumbnail,"Cats,Dogs",705,245,Anchorage,AK,61.1723,-149.8414,RentLingo,229
housing/rent/apartment,1.0,1.0,Thumbnail,Desconocido,1800,250,Pacifica,CA,37.6019,-122.4863,RentLingo,139
housing/rent/apartment,1.0,1.0,Thumbnail,Desconocido,1600,250,Marina Del Rey,CA,33.9855,-118.4532,RentLingo,186
housing/rent/apartment,1.0,1.0,Thumbnail,Desconocido,1500,250,San Francisco,CA,37.7599,-122.4379,RentLingo,137
housing/rent/apartment,1.0,1.0,Thumbnail,Desconocido,1330,250,Studio City,CA,34.145,-118.3898,RentLingo,179
housing/rent/apartment,1.0,1.0,Thumbnail,Desconocido,1310,250,Moorpark,CA,34.2805,-118.8861,RentLingo,137
housing/rent/apartment,1.0,1.0,Thumbnail,Desconocido,1300,250,Torrance,CA,33.8363,-118.333,RentLingo,178
housing/rent/apartment,1.0,1.0,Thumbnail,Desconocido,1295,250,Sacramento,CA,38.5587,-121.432,RentLingo,137
housing/rent/apartment,1.0,1.0,Thumbnail,Desconocido,1255,250,Lake Balboa,CA,34.2017,-118.492,RentLingo,190
housing/rent/apartment,1.0,1.0,Thumbnail,Desconocido,1250,250,Seattle,WA,47.616,-122.3275,RentLingo,192
housing/rent/apartment,1.0,1.0,Thumbnail,Desconocido,1250,250,North Hollywood,CA,34.1881,-118.3905,RentLingo,141
housing/rent/apartment,1.0,1.0,Thumbnail,Desconocido,1200,250,Denver,CO,39.736,-104.9819,RentLingo,176
housing/rent/apartment,1.0,1.0,Thumbnail,Desconocido,1200,250,Aurora,CO,39.6828,-104.8078,RentLingo,176
housing/rent/apartment,1.0,1.0,Thumbnail,Desconocido,1175,250,Brentwood,CA,37.9353,-121.6935,RentLingo,132
housing/rent/apartment,1.0,1.0,Thumbnail,Desconocido,1155,250,San Rafael,CA,37.9917,-122.5247,RentLingo,136
housing/rent/apartment,1.0,1.0,Thumbnail,Desconocido,1150,250,North Potomac,MD,39.1088,-77.2384,RentLingo,185
housing/rent/apartment,1.0,1.0,Thumbnail,Desconocido,1145,250,Andover,MA,42.6484,-71.1615,RentLingo,178
housing/rent/apartment,1.0,1.0,Thumbnail,Desconocido,1135,250,Oakland,CA,37.7904,-122.2151,RentLingo,169
housing/rent/apartment,1.0,1.0,Thumbnail,Desconocido,1115,250,San Pablo,CA,37.9724,-122.3304,RentLingo,130
housing/rent/apartment,1.0,0.0,Thumbnail,Desconocido,1095,250,Chicago,IL,41.8625,-87.6825,RentLingo,142
housing/rent/apartment,1.0,1.0,Thumbnail,Desconocido,1090,250,Alexandria,VA,38.7999,-77.1072,RentLingo,178
housing/rent/apartment,1.0,1.0,Thumbnail,Desconocido,1075,250,Chicago,IL,41.8625,-87.6825,RentLingo,181
